;Formula;C;H;O;N;S;SMILE;Nome;E.F.;Calor_de_Combustão;Formação
0;C8H8N4;8;8;0;4;0;CN1C(=NN=N1)C2=CC=CC=C2;1-methyl-5-phenyltetrazole;c;-1095.6;69.9
1;C8H8O ;8;8;1;0;0;CC(=O)C1=CC=CC=C1;acetophe:fione ;liq;-991.6;-34.07
2;C5H14O;5;14;1;0;0;CCCCCCO;I-hexaIiol;liq;-951.86;-90.65
3; C6H10O2;6;10;2;0;0;CCC=CCC(=O)O;hydrosorbic acid;liq;-795.7;-110.2
4;C4H8O7;4;8;7;0;0;C(C(C(=O)O)O)(C(=O)O)O.O;DL-tartaric acid monohydrate;c;-27;-371
5;C3H4N2;3;4;0;2;0;C1=CN=CN1;imidazole ;c;-33.3;14.5
6;C5H8O7;5;8;7;0;0;C(C(C(=O)O)O)(C(C(=O)O)O)O;DL-trihydroxyglutaric acid;c;-38;-356
7;C2H6O6 ;2;6;6;0;0;C(=O)(C(=O)O)O.O.O  ;oxalic acid dihydrate  ;c;-52;-341
8;C2H2O4 ;2;2;4;0;0;C(=O)(C(=O)O)O;oxalic acid ;c;-58.7;-197.7
9;CH2O2;1;2;2;0;0;C(=O)O;formic acid (methanoic acid);liq;-60.86;-101.51
10;C2H4O4;2;4;4;0;0;C(=O)C(=O)O.O;glyoxylic acid;c;-125;-199.7
11;C3H4O6;3;4;6;0;0;C(=O)(C(=O)O)C(=O)O.O;mesoxalic acid;c;-128.1;-290.7
12;CH5N3O4 ;1;5;4;3;0;C(=O)(N)N.[N+](=O)(O)[O-];urea nitrate;c;-130;-134.8
13;C2H3NO3 ;2;3;3;1;0;C(=O)(C(=O)O)N;oxamic acid;c;-130.2;-160.4
14;C12H24O12 ;12;24;12;0;0;C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O.O;B-maltose monohydrate;c;-134;-606
15;CH3NO ;1;3;1;1;0;C(=O)N;formamide ;liq;-135.8;-60.7
16;CH2O ;1;2;1;0;0;C=O;formaldehyde (methanal);g;-136.42;-25.95
17;CH4N2O ;1;4;1;4;0;C(=O)(N)N;urea;c;-150.97;-79.71
18;CH2N4O;1;2;1;1;0;C1(=O)NN=NN1;5-hydroxytetrazole ;c;-163.9;1.5
19;C2H4O3 ;2;4;3;0;0;C(C(=O)O)O;glycolic acid (hydroxyacetic acid)  ;c;-166.1;-158.6
20;CH4O ;1;4;1;0;0;CO;methanol;liq;-173.64;-57.04
21;CH4O ;1;4;1;0;0;CO;methanol;g;-182.72;-47.96
22;C4H4N2O4;4;4;4;2;0;C1(C(=O)NC(=O)NC1=O)O;dialuric acid ;c;-198.4;-314.4
23;C2H4N2O2 ;2;4;2;2;0;C(=O)(C(=O)N)N;oxamide;c;-201.7;-123
24;C2H2O2 ;2;2;2;0;0;C(=O)C=O;glyoxal ;g;-205.76;-50.66
25;C3H4O4 ;3;4;4;0;0;C(C(=O)O)C(=O)O;malonic acid;c;-205.82;-212.96
26;CH6N4O3 ;1;6;3;4;0;C(=N)(N)N.[N+](=O)(O)[O-];guanidine nitrate;c;-206.5;-92.5
27;C2H4N2O2 ;2;4;2;2;0;C(=O)NC(=O)N;formylurea;c;-207;-118
28;C2H4O2;2;4;2;0;0;CC(=O)O;acetic acid (ethanoic acid);liq;-209.02;-115.71
29;C3H2N2;3;2;0;2;0;C1(=O)C(=O)NC(=O)N1;parabanic acid ;c;-212.5;-138
30;CH4;1;4;0;0;0;C;methane;g;-212.79;-17.89
31;CH6N2O3;1;6;3;2;0;O=N(=O)O.NC;methylamine nitrate;c;-214.3;-84.7
32;C2H6N2O5;2;6;5;2;0;C(C(=O)O)N.[N+](=O)(O)[O-]; glycine nitrate ;c;-218.9;-174.1
33;CH2N4;1;2;0;4;0;C1=NNN=N1;tetrazole ;c;-219;56.7
34;CH4N6O3;1;6;3;6;0;C1(=NNN=N1)N.[N+](=O)(O)[O-];5-aminotetrazole nitrate ;c;-224.1;-6.6
35;C2H5NO2;2;5;2;1;0;C(C(=O)O)N; glycine ;c;-232.67;-126.22
36;C2H4O2;2;4;2;0;0;COC=O;methyl formate;liq;-234.1;-90.6
37;C7H11O8 ;7;11;8;0;0; ;a-methyl-D-glucopyranoside;c;-241;-291.2
38;C2H4O2;2;4;2;0;0;COC=O;methyl formate;c;-241;-83.7
39;CH3N5;1;3;0;5;0;C1(=NNN=N1)N;5-aminotetrazole ;c;-246.2;49.7
40;CH5N3;1;5;0;3;0;C(=N)(N)N;guanidine;c;-251.45;-13.39
41;CH5N ;1;5;0;1;0;CN;methylamine;liq;-253.5;-11.3
42;C2H4N2O2 ;2;4;2;2;0;O=C(N=NC(=O)N)N;azodicarbamide;c;-254.83;-69.9
43;CH5N5O2 ;1;5;2;5;0;C(=N[N+](=O)[O-])(N)NN;nitro amino guanidine;c;-270.13;5.29
44;C4H6O6  ;4;6;6;0;0;C(C(C(=O)O)O)(C(=O)O)O;DL-tartaric acid;c;-272;-308.5
45;C4H4N2O5;4;4;5;2;0;C1(=O)C(=O)NC(=O)NC1=O.O;alloxan monohydrate ;c;-273.76;-239.08
46;C2H6N4O2 ;2;6;2;4;0;C(=O)(N)NNC(=O)N;hydrazodicarbamide ;c;-273.86;-119.19
47;C4H6O6  ;4;6;6;0;0;C(C(C(=O)O)O)(C(=O)O)O;L-tartaric acid;c;-274;-306.5
48;C4H8O7;4;8;7;0;0;C(C(C(=O)O)O)(C(=O)O)O;meso-tartaric acid;c;-275.3;-305.9
49;C3H4O3 ;3;4;3;0;0;CC(=O)C(=O)O;pyruvic acid;c;-278.5;-140.3
50;C2H4O ;2;4;1;0;0;CC=O;acetaldehyde (ethanal);liq;-278.77;-45.96
51;C3H4O3 ;3;4;3;0;0;C1COC(=O)O1;ethylene carbonate;c;-279.9;-138.9
52;C2H5NO ;2;5;1;1;0;CC(=O)N;acetamide;c;-282.9;-76
53;C2H602 ;2;6;0;0;0;C(CO)O;l,2-ethanediol (ethylene  glycol)  ;liq;-284.35;-108.7
54;C2H4O ;2;4;1;0;0;CC=O;acetaldehyde (ethanal);g;-285.01;-39.72
55;C3H6N2O3;3;6;3;2;0;C(C(=O)O)NC(=O)N;hydantoic acid (ureido acetic acid)  ;c;-308;-179
56;C2H2;2;2;0;0;0;C#C;acetylene;g;-310.61;54.19
57;C3H4N2O2;3;4;2;2;0;C1C(=O)NC(=O)N1;hydantoin ;c;-311.6;-107.2
58;C4H6O5 ;4;6;5;0;0;C(C(C(=O)O)O)C(=O)O;DL-malic acid;c;-316.88;-264.67
59;C4H6O5 ;4;6;5;0;0;C(C(C(=O)O)O)C(=O)O;L-malic acid ;c;-317.37;-263.78
60;C2H5N5O3;2;5;3;5;0; ;3-amino-l,2,4-triazole nitrate ;c;-318;-40.9
61;C2HN5;2;1;0;5;0; ;3-azido-s-triazole ;c;-318.3;96.1
62;C4H4O4 ;4;4;4;0;0;C(=CC(=O)O)C(=O)O;fumaric acid;c;-318.99;-193.84
63;C3H6O3 ;3;6;3;0;0;CC(C(=O)O)O;D-Iactic acid ;c;-321.22;-165.88
64;C2H5N5O3;2;5;3;5;0;CN(C(=N)N[N+](=O)[O-])N=O;I-formamido-2-nitro guanidine ;c;-323;-35.1
65;C4H4O4 ;4;4;4;0;0;C(=CC(=O)O)C(=O)O;maleic acid ;c;-323.89;-188.94
66;C2H7N5O4;2;7;4;5;0;C(=N)(N)N(C(=O)N)O[N+](=O)[O-];guanylurea nitrate ;c;-325.1;-102.1
67;C2H6O;2;6;1;0;0;CCO;ethanol;liq;-326.68;-66.37
68;C3H6O3 ;3;6;3;0;0;CC(C(=O)O)O;DL-Iactic acid ;liq;-326.8;-160.3
69;C3H4O2 ;3;4;2;0;0;C=CC(=O)O;acrylic acid  ;liq;-327;-91.8
70;CH8N6O3 ;1;8;3;6;0; ;sym-diaminoguanidine nitrate;c;-329.74;-37.57
71;C4H2O3 ;4;2;3;0;0;C1=CC(=O)OC1=O;maleic anhydride;c;-332.1;-112.42
72;C2H6O;2;6;1;0;0;CCO;ethanol;g;-336.86;-56.19
73;C2H4;2;4;0;0;0;C=C;ethylene;g;-337.23;12.5
74;C3H4O2 ;3;4;2;0;0;C1COC1=O;B-propiolactone ;liq;-339.93;-78.85
75;C2H4N4O;2;4;1;4;0;COC1=NNN=N1;5-methoxytetrazole ;c;-341.3;16.6
76;C2H4N4;2;4;0;4;0;N=1N=C(N)NC1;3-amino-l,2 ,4-triazole ;c;-343.1;18.4
77;C3H7NO3 ;3;7;3;1;0;C(C(C(=O)O)O)N;L-isoserine;c;-343.5;-177.8
78;C3H603 ;3;6;0;0;0;C(C(C=O)O)O;glyceraldehyde;liq;-344;-143
79;C3H7NO3 ;3;7;3;1;0;C(C(C(=O)O)N)O;L-serine ;c;-347.7;-173.6
80;C2H8O ;2;8;1;0;0;COC  ;dimethyl ether ;g;-349.06;-43.99
